"Date","Price","Open","High","Low","Vol.","Change %"
"03/07/2025","20.31","20.59","21.26","20.16","2.17M","-2.12%"
"03/06/2025","20.75","21.22","21.44","20.51","1.07M","-1.28%"
"03/05/2025","21.02","20.74","21.08","20.37","999.75K","4.27%"
"03/04/2025","20.16","19.46","20.67","18.79","2.38M","0.65%"
"03/03/2025","20.03","22.26","22.33","19.76","2.54M","-4.25%"
"02/28/2025","20.92","20.38","21.24","20.15","1.73M","-1.37%"
"02/27/2025","21.21","22.08","22.17","21.09","1.00M","-3.59%"
"02/26/2025","22.00","22.42","23.14","21.23","2.05M","-6.22%"
"02/25/2025","23.46","22.72","23.65","22.21","3.01M","-5.75%"
"02/24/2025","24.89","25.17","25.33","24.70","793.08K","0.44%"
"02/21/2025","24.78","26.60","26.70","24.70","2.16M","-4.40%"
"02/20/2025","25.92","26.04","26.10","25.51","852.96K","1.01%"
"02/19/2025","25.66","25.63","25.73","25.22","553.30K","3.51%"
"02/18/2025","24.79","25.62","25.65","24.55","1.44M","-3.69%"
"02/14/2025","25.74","25.44","26.32","25.37","1.15M","2.88%"
"02/13/2025","25.02","24.93","25.13","24.63","1.14M","-0.95%"
"02/12/2025","25.26","24.22","25.40","24.00","1.17M","3.14%"
"02/11/2025","24.49","25.04","25.19","24.33","972.42K","-3.20%"
"02/10/2025","25.30","25.04","25.38","24.88","812.40K","3.73%"
"02/07/2025","24.39","26.31","26.37","24.30","1.94M","-4.91%"
"02/06/2025","25.65","26.08","26.18","25.21","1.36M","-1.57%"
"02/05/2025","26.06","26.58","26.58","25.58","1.38M","1.13%"
"02/04/2025","25.77","26.41","27.06","25.67","3.72M","0.90%"
"02/03/2025","25.54","24.18","26.17","24.06","5.45M","-18.30%"
"01/31/2025","31.26","31.72","32.43","30.97","1.16M","2.53%"
"01/30/2025","30.49","30.67","30.97","30.44","779.37K","3.04%"
"01/29/2025","29.59","29.35","29.99","28.80","1.11M","1.51%"
"01/28/2025","29.15","29.87","30.27","29.14","668.82K","-1.69%"
"01/27/2025","29.65","29.26","29.71","28.69","2.14M","-5.57%"
"01/24/2025","31.40","32.06","32.28","31.37","1.35M","2.55%"
"01/23/2025","30.62","30.49","31.08","30.11","2.76M","-0.26%"
"01/22/2025","30.70","31.16","31.22","30.51","1.02M","-1.70%"
"01/21/2025","31.23","31.41","31.75","30.77","1.56M","-5.91%"
"01/17/2025","33.19","32.30","33.28","32.10","1.08M","5.53%"
"01/16/2025","31.45","31.52","31.72","30.76","1.65M","-2.87%"
"01/15/2025","32.38","30.98","32.76","30.90","1.26M","6.62%"
"01/14/2025","30.37","30.28","30.50","29.88","600.03K","4.19%"
"01/13/2025","29.15","28.67","29.23","27.45","1.78M","-5.17%"
"01/10/2025","30.74","30.82","31.33","30.10","2.58M","-0.61%"
"01/08/2025","30.93","31.63","31.89","30.19","2.58M","-3.19%"
"01/07/2025","31.95","34.27","34.33","31.64","6.17M","-8.06%"
"01/06/2025","34.75","34.27","35.33","34.23","2.80M","2.30%"
"01/03/2025","33.97","33.12","34.23","33.07","2.18M","4.33%"
"01/02/2025","32.56","32.61","33.01","32.29","1.31M","3.40%"
"12/31/2024","31.49","32.35","32.52","31.36","1.46M","-1.62%"
"12/30/2024","32.01","31.51","32.20","31.06","2.17M","1.88%"
"12/27/2024","31.42","31.93","31.93","31.11","2.01M","0.16%"
"12/26/2024","31.37","31.68","31.71","31.17","3.03M","-5.05%"
"12/24/2024","33.04","32.48","33.17","32.37","1.80M","3.09%"
"12/23/2024","32.05","31.58","32.15","30.77","2.77M","-1.14%"
"12/20/2024","32.42","31.33","32.95","31.13","4.44M","1.85%"
"12/19/2024","31.83","34.74","34.90","31.36","10.86M","-8.51%"
"12/18/2024","34.79","36.45","36.84","34.23","5.78M","-6.20%"
"12/17/2024","37.09","37.85","37.98","36.92","4.14M","-2.83%"
"12/16/2024","38.17","36.89","38.78","36.87","4.36M","3.22%"
"12/13/2024","36.98","37.07","37.46","36.59","1.03M","0.85%"
"12/12/2024","36.67","37.50","37.64","36.36","1.12M","1.33%"
"12/11/2024","36.19","35.16","36.27","35.10","1.33M","5.11%"
"12/10/2024","34.43","35.10","35.22","33.18","2.47M","-2.46%"
"12/09/2024","35.30","36.64","37.23","35.11","2.68M","-7.74%"
"12/06/2024","38.26","37.01","38.67","36.85","2.17M","5.98%"
"12/05/2024","36.10","37.02","37.41","35.69","2.36M","-1.63%"
"12/04/2024","36.70","35.08","36.78","35.02","2.10M","7.75%"
"12/03/2024","34.06","33.50","34.07","33.01","1.31M","-0.18%"
"12/02/2024","34.12","34.27","34.77","33.53","1.44M","0.83%"
"11/29/2024","33.84","34.00","34.46","33.78","805.06K","-1.28%"
"11/27/2024","34.28","32.91","34.34","32.85","2.03M","9.56%"
"11/26/2024","31.29","31.31","31.71","30.70","1.13M","-5.38%"
"11/25/2024","33.07","32.96","33.46","31.56","1.97M","6.51%"
"11/22/2024","31.05","31.06","31.42","30.80","2.02M","-1.86%"
"11/21/2024","31.64","31.66","32.00","30.61","7.46M","9.37%"
"11/20/2024","28.93","29.51","29.60","28.59","1.73M","-0.92%"
"11/19/2024","29.20","29.30","29.70","29.10","2.08M","-2.01%"
"11/18/2024","29.80","29.30","30.20","28.90","3.44M","2.41%"
"11/15/2024","29.10","28.90","29.20","28.40","4.56M","-0.34%"
"11/14/2024","29.20","30.10","30.20","28.80","3.17M","-2.34%"
"11/13/2024","29.90","30.60","31.50","29.50","6.09M","-3.86%"
"11/12/2024","31.10","30.70","31.20","30.30","4.58M","-1.89%"
"11/11/2024","31.70","29.90","31.90","29.70","6.70M","14.44%"
"11/08/2024","27.70","27.90","28.20","27.30","2.86M","1.09%"
"11/07/2024","27.40","26.50","27.50","26.20","3.44M","7.45%"
"11/06/2024","25.50","24.80","25.50","24.60","2.21M","11.84%"
"11/05/2024","22.80","23.10","23.40","22.60","1.43M","0.00%"
"11/04/2024","22.80","23.20","23.20","22.60","1.68M","-3.80%"
"11/01/2024","23.70","23.80","24.40","23.40","2.51M","0.42%"
"10/31/2024","23.60","24.80","24.80","23.60","3.61M","-5.60%"
"10/30/2024","25.00","25.40","25.70","25.00","2.67M","1.21%"
"10/29/2024","24.70","24.70","25.30","24.60","2.35M","4.66%"
"10/28/2024","23.60","23.90","23.90","23.40","2.11M","1.72%"
"10/25/2024","23.20","24.00","24.20","23.10","1.57M","-3.33%"
"10/24/2024","24.00","23.90","24.00","23.60","1.09M","1.69%"
"10/23/2024","23.60","24.20","24.40","23.10","976.18K","-4.84%"
"10/22/2024","24.80","24.80","24.90","24.50","989.49K","-1.59%"
"10/21/2024","25.20","25.40","25.40","25.00","1.02M","0.80%"
"10/18/2024","25.00","24.70","25.30","24.60","1.35M","2.46%"
"10/17/2024","24.40","24.50","24.80","24.24","1.50M","-1.21%"
"10/16/2024","24.70","24.70","24.95","24.40","1.12M","0.82%"
"10/15/2024","24.50","24.60","25.35","23.90","1.73M","-0.81%"
"10/14/2024","24.70","24.00","24.99","24.00","1.51M","6.47%"
"10/11/2024","23.20","22.80","23.30","22.80","893.65K","4.04%"
"10/10/2024","22.30","22.60","22.80","21.90","1.42M","-1.76%"
"10/09/2024","22.70","22.90","23.30","22.70","1.51M","-1.30%"
"10/08/2024","23.00","22.90","23.20","22.60","1.17M","-0.43%"
"10/07/2024","23.10","23.30","23.80","22.80","1.31M","0.87%"
"10/04/2024","22.90","22.40","23.00","22.10","960.57K","3.15%"
"10/03/2024","22.20","22.10","22.30","21.80","1.33M","-0.89%"
"10/02/2024","22.40","22.90","23.40","22.30","1.74M","-4.68%"
"10/01/2024","23.50","24.60","24.66","22.90","1.90M","-3.69%"
"09/30/2024","24.40","24.90","24.90","24.20","1.16M","-4.31%"
"09/27/2024","25.50","25.10","25.80","24.90","1.30M","2.00%"
"09/26/2024","25.00","24.70","25.20","24.60","1.37M","3.31%"
"09/25/2024","24.20","24.60","24.80","24.20","1.04M","-3.20%"
"09/24/2024","25.00","24.90","25.10","24.40","1.24M","-0.79%"
"09/23/2024","25.20","25.00","25.50","24.80","1.40M","5.00%"
"09/20/2024","24.00","23.90","24.30","23.70","1.20M","3.00%"
"09/19/2024","23.30","23.00","23.50","22.80","1.38M","6.88%"
"09/18/2024","21.80","21.80","22.25","21.50","1.21M","-1.80%"
"09/17/2024","22.20","21.90","22.60","21.70","1.03M","3.74%"
"09/16/2024","21.40","21.80","21.80","21.35","1.24M","-6.14%"
"09/13/2024","22.80","22.20","22.90","22.10","1.10M","2.24%"
"09/12/2024","22.30","22.10","22.30","21.80","906.40K","1.36%"
"09/11/2024","22.00","22.00","22.30","21.40","1.01M","-1.79%"
"09/10/2024","22.40","22.10","22.60","21.90","799.93K","0.90%"
"09/09/2024","22.20","21.80","22.20","21.40","970.11K","6.22%"
"09/06/2024","20.90","22.50","22.60","20.80","1.42M","-5.86%"
"09/05/2024","22.20","22.50","22.80","22.10","1.11M","-4.31%"
"09/04/2024","23.20","22.50","23.50","22.50","1.27M","0.87%"
"09/03/2024","23.00","23.60","23.65","22.90","983.65K","-2.54%"
"08/30/2024","23.60","23.70","24.00","22.90","1.13M","-0.84%"
"08/29/2024","23.80","24.30","24.50","23.65","733.57K","0.85%"
"08/28/2024","23.60","23.80","24.00","23.14","1.36M","-3.28%"
"08/27/2024","24.40","24.80","24.80","24.10","865.95K","-3.56%"
"08/26/2024","25.30","25.90","25.90","25.20","833.18K","-2.32%"
"08/23/2024","25.90","25.10","26.00","24.80","1.37M","5.71%"
"08/22/2024","24.50","24.80","24.80","24.40","763.33K","-2.00%"
"08/21/2024","25.00","24.40","25.00","23.90","1.03M","1.63%"
"08/20/2024","24.60","24.80","25.00","24.10","829.29K","0.00%"
"08/19/2024","24.60","24.50","24.80","24.13","729.27K","-0.81%"
"08/16/2024","24.80","24.50","24.80","24.05","1.04M","2.90%"
"08/15/2024","24.10","25.10","25.20","23.80","1.51M","-3.98%"
"08/14/2024","25.10","25.70","25.80","24.80","1.39M","-1.57%"
"08/13/2024","25.50","24.90","25.77","24.80","1.16M","1.59%"
"08/12/2024","25.10","25.30","25.70","24.43","1.65M","2.66%"
"08/09/2024","24.45","24.90","25.10","24.04","1.56M","0.62%"
"08/08/2024","24.30","23.30","24.60","22.75","1.92M","9.95%"
"08/07/2024","22.10","23.30","23.50","21.95","2.34M","-5.96%"
"08/06/2024","23.50","23.20","24.10","22.80","1.96M","3.52%"
"08/05/2024","22.70","20.90","23.80","20.60","4.11M","-19.79%"
"08/02/2024","28.30","29.60","30.00","28.10","2.21M","-3.74%"
"08/01/2024","29.40","30.00","30.10","29.00","1.78M","-4.55%"
"07/31/2024","30.80","31.40","31.60","30.52","2.39M","0.00%"
"07/30/2024","30.80","31.60","31.66","30.70","1.55M","-1.28%"
"07/29/2024","31.20","31.90","31.90","30.70","3.37M","1.30%"
"07/26/2024","30.80","30.40","31.00","30.30","3.67M","4.76%"
"07/25/2024","29.40","29.80","30.00","29.20","3.20M","-7.26%"
"07/24/2024","31.70","32.70","32.70","31.60","3.11M","-3.06%"
