Fecha,cantidad_servicios,tiempo_asignacion_prom,tiempo_arribo_prom,tiempo_respuesta_prom,Cantidad Camb.Color,Cantidad Reclamos,Cantidad Rechazos Internac.,Ciclo Vida_ADULTO MAY,Ciclo Vida_NEONATAL,Ciclo Vida_PEDIATRICO,Sexo_F,Sexo_M,Zona Inicial_INTERIOR,Zona Inicial_NOROESTE,Zona Inicial_NORTE,Zona Inicial_OESTE,Zona Inicial_SUR,Zona Inicial_Z-CHACO,Zona Inicial_Z-CORDOBA,Zona Inicial_Z-CORRIENTES,Zona Inicial_Z-ENTRE RIOS,Zona Inicial_Z-MENDOZA,Zona Inicial_Z-RIO NEGRO,Zona Inicial_Z-SALTA,Zona Inicial_Z-SAN JUAN,Zona Inicial_Z-SAN LUIS,Zona Inicial_Z-SANTA FE,Zona Inicial_Z-SANTIAGO DEL ESTERO,Zona Inicial_Z-TUCUMAN,Provincia_CAPITAL FEDERAL,Provincia_CHACO,Provincia_CONURBANO,Provincia_CORDOBA,Provincia_CORRIENTES,Provincia_ENTRE RIOS,Provincia_MENDOZA,Provincia_RIO NEGRO,Provincia_SALTA,Provincia_SAN JUAN,Provincia_SAN LUIS,Provincia_SANTA FE,Provincia_SANTIAGO DEL ESTERO,Provincia_TUCUMAN
2022-01-30,7,0 days 05:21:41.714285714,0 days 07:54:47.285714285,0 days 06:41:14.142857142,1.0,2.0,0.0,1,0,1,3,4,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0
2022-01-31,9,0 days 00:58:27.222222222,0 days 03:48:05.111111111,0 days 04:48:55.333333333,6.0,1.0,0.0,3,0,3,7,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,22,0 days 00:16:44.272727272,0 days 02:26:48.772727272,0 days 02:42:10.818181818,1.0,3.0,0.0,8,0,5,13,9,0,2,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0
2022-02-02,16,0 days 00:08:39.812500,0 days 02:35:12.312500,0 days 02:50:20.187500,4.0,2.0,0.0,7,0,2,13,3,0,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0
2022-02-03,13,0 days 00:08:05.769230769,0 days 03:51:07.230769230,0 days 04:01:28.307692307,2.0,0.0,0.0,3,0,3,9,4,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0
2022-02-04,7,0 days 00:12:43.428571428,0 days 02:27:51.285714285,0 days 02:43:13,0.0,0.0,0.0,2,0,0,4,3,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0
2022-02-05,18,0 days 00:06:00.277777777,0 days 02:19:41.444444444,0 days 02:27:47.333333333,1.0,0.0,0.0,10,0,3,12,6,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0
2022-02-06,6,0 days 00:03:25,0 days 06:24:19,0 days 06:29:26.666666666,0.0,0.0,0.0,2,0,1,2,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0
2022-02-07,16,0 days 00:17:32.125000,0 days 02:17:55.312500,0 days 03:21:58.187500,1.0,0.0,0.0,3,0,2,8,8,0,0,5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0
2022-02-08,22,0 days 00:17:51.318181818,0 days 01:37:21.454545454,0 days 02:00:29.500000,4.0,3.0,0.0,9,0,3,12,10,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,9,0,0,0,0,0,0,0,0,0,0,0
2022-02-09,15,0 days 00:06:42.733333333,0 days 01:31:52.600000,0 days 02:10:37.200000,2.0,0.0,0.0,7,0,2,7,8,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0
2022-02-10,16,0 days 00:07:55.125000,0 days 02:18:28.875000,0 days 02:28:35.250000,4.0,1.0,0.0,4,0,3,9,7,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0
2022-02-11,12,0 days 00:15:16.250000,0 days 04:52:12.333333333,0 days 05:31:04.166666666,1.0,2.0,0.0,0,0,4,6,6,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0
