Fecha,cantidad_servicios,tiempo_asignacion_prom,tiempo_arribo_prom,tiempo_respuesta_prom,Cantidad Camb.Color,Cantidad Reclamos,Cantidad Rechazos Internac.,Ciclo Vida_ADULTO MAY,Ciclo Vida_NEONATAL,Ciclo Vida_PEDIATRICO,Sexo_F,Sexo_M,Zona Inicial_INTERIOR,Zona Inicial_NOROESTE,Zona Inicial_NORTE,Zona Inicial_OESTE,Zona Inicial_SUR,Zona Inicial_Z-CATAMARCA,Zona Inicial_Z-CHACO,Zona Inicial_Z-CHUBUT,Zona Inicial_Z-CORDOBA,Zona Inicial_Z-CORRIENTES,Zona Inicial_Z-ENTRE RIOS,Zona Inicial_Z-FORMOSA,Zona Inicial_Z-JUJUY,Zona Inicial_Z-LA PAMPA,Zona Inicial_Z-LA RIOJA,Zona Inicial_Z-MENDOZA,Zona Inicial_Z-MISIONES,Zona Inicial_Z-NEUQUEN,Zona Inicial_Z-RIO NEGRO,Zona Inicial_Z-SALTA,Zona Inicial_Z-SAN JUAN,Zona Inicial_Z-SAN LUIS,Zona Inicial_Z-SANTA CRUZ,Zona Inicial_Z-SANTA FE,Zona Inicial_Z-SANTIAGO DEL ESTERO,Zona Inicial_Z-TIERRA DEL FUEGO,Zona Inicial_Z-TUCUMAN,Provincia_CAPITAL FEDERAL,Provincia_CATAMARCA,Provincia_CHACO,Provincia_CHUBUT,Provincia_CONURBANO,Provincia_CORDOBA,Provincia_CORRIENTES,Provincia_ENTRE RIOS,Provincia_FORMOSA,Provincia_JUJUY,Provincia_LA PAMPA,Provincia_LA RIOJA,Provincia_MENDOZA,Provincia_MISIONES,Provincia_NEUQUEN,Provincia_RIO NEGRO,Provincia_SALTA,Provincia_SAN JUAN,Provincia_SAN LUIS,Provincia_SANTA CRUZ,Provincia_SANTA FE,Provincia_SANTIAGO DEL ESTERO,Provincia_TIERRA DEL FUEGO,Provincia_TUCUMAN
2022-01-23,195,0 days 01:19:19.784615384,0 days 00:45:38.769230769,0 days 02:12:35.917948717,17.0,6.0,0.0,31,0,24,108,87,8,14,41,19,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2022-01-24,239,0 days 00:24:58.794979079,0 days 00:41:40.974895397,0 days 01:11:19.815899581,29.0,4.0,0.0,32,0,27,144,95,15,22,54,26,28,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,86,0,0,0,124,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
2022-01-25,214,0 days 00:24:51.275700934,0 days 00:49:40.112149532,0 days 01:16:47.971962616,27.0,3.0,0.0,21,0,33,126,88,9,18,32,29,34,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,87,0,0,0,109,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
2022-01-26,196,0 days 00:21:42.341836734,0 days 00:42:53.260204081,0 days 01:08:06.811224489,25.0,3.0,0.0,38,0,22,109,87,11,14,36,25,21,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,85,0,0,0,90,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2022-01-27,151,0 days 00:23:06.397350993,0 days 00:42:58.033112582,0 days 01:09:34.589403973,12.0,2.0,0.0,21,0,13,90,61,8,7,33,18,17,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,64,0,0,0,71,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2022-01-28,131,0 days 00:22:45.022900763,0 days 00:46:53.083969465,0 days 01:12:35.007633587,17.0,2.0,0.0,19,0,16,72,59,10,9,34,15,11,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48,0,0,0,66,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-01-29,118,0 days 00:14:07.262711864,0 days 00:23:23.567796610,0 days 00:40:24.830508474,12.0,1.0,0.0,25,0,18,69,49,2,6,25,9,11,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0,57,0,0,0,51,0,0,2,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0
2022-01-30,107,0 days 00:18:47.906542056,0 days 00:31:13.196261682,0 days 00:52:18.897196261,13.0,2.0,0.0,19,0,17,66,41,3,10,20,10,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-31,153,0 days 00:40:15.542483660,0 days 00:38:41,0 days 01:21:59.307189542,20.0,7.0,0.0,26,0,15,94,59,5,12,32,17,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,65,0,0,0,79,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2022-02-01,137,0 days 00:16:55.401459854,0 days 00:39:33.197080291,0 days 01:01:56.445255474,10.0,5.0,0.0,10,0,22,90,47,9,12,19,19,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56,0,0,0,67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
