Fecha,cantidad_servicios,tiempo_asignacion_prom,tiempo_arribo_prom,tiempo_respuesta_prom,Cantidad Camb.Color,Cantidad Reclamos,Cantidad Rechazos Internac.,Ciclo Vida_ADULTO MAY,Ciclo Vida_NEONATAL,Ciclo Vida_PEDIATRICO,Sexo_F,Sexo_M,Zona Inicial_INTERIOR,Zona Inicial_NOROESTE,Zona Inicial_NORTE,Zona Inicial_OESTE,Zona Inicial_SUR,Zona Inicial_Z-CATAMARCA,Zona Inicial_Z-CHACO,Zona Inicial_Z-CORDOBA,Zona Inicial_Z-ENTRE RIOS,Zona Inicial_Z-JUJUY,Zona Inicial_Z-LA RIOJA,Zona Inicial_Z-MENDOZA,Zona Inicial_Z-MISIONES,Zona Inicial_Z-RIO NEGRO,Zona Inicial_Z-SALTA,Zona Inicial_Z-SAN JUAN,Zona Inicial_Z-SAN LUIS,Zona Inicial_Z-SANTA FE,Zona Inicial_Z-SANTIAGO DEL ESTERO,Zona Inicial_Z-TIERRA DEL FUEGO,Zona Inicial_Z-TUCUMAN,Provincia_CAPITAL FEDERAL,Provincia_CATAMARCA,Provincia_CHACO,Provincia_CONURBANO,Provincia_CORDOBA,Provincia_ENTRE RIOS,Provincia_JUJUY,Provincia_LA RIOJA,Provincia_MENDOZA,Provincia_MISIONES,Provincia_RIO NEGRO,Provincia_SALTA,Provincia_SAN JUAN,Provincia_SAN LUIS,Provincia_SANTA FE,Provincia_SANTIAGO DEL ESTERO,Provincia_TIERRA DEL FUEGO,Provincia_TUCUMAN,Color Curso_ROJO,Internó_SI
2022-01-30,31,0 days 00:04:20.838709677,0 days 00:47:46.483870967,0 days 00:54:30.193548387,6.0,5.0,1.0,15,0,4,21,10,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7
2022-01-31,28,0 days 00:15:29.535714285,0 days 00:48:04.928571428,0 days 01:10:06.607142857,8.0,6.0,11.0,13,0,0,20,8,0,2,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6
2022-02-01,35,0 days 00:06:30.342857142,0 days 00:52:22.571428571,0 days 01:02:14.400000,4.0,4.0,29.0,19,0,1,23,12,0,2,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6
2022-02-02,26,0 days 00:17:29.923076923,0 days 01:02:07.346153846,0 days 01:27:37.730769230,5.0,7.0,0.0,14,0,1,17,9,0,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5
2022-02-03,27,0 days 00:06:58.407407407,0 days 01:19:40.592592592,0 days 00:40:12.703703703,3.0,4.0,17.0,15,0,0,16,11,0,1,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5
2022-02-04,31,0 days 00:07:06.580645161,0 days 00:43:05.258064516,0 days 00:53:18.516129032,6.0,5.0,12.0,18,0,2,23,8,1,2,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6
2022-02-05,17,0 days 00:04:29.352941176,0 days 00:31:04.588235294,0 days 00:37:42.882352941,5.0,1.0,3.0,12,0,1,10,7,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
2022-02-06,27,0 days 00:09:00.777777777,0 days 00:26:52.222222222,0 days 00:38:19.703703703,5.0,2.0,1.0,17,0,1,11,16,1,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
2022-02-07,35,0 days 00:04:14.942857142,0 days 00:44:32.514285714,0 days 00:50:55.800000,8.0,14.0,8.0,19,0,4,16,19,1,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5
2022-02-08,33,0 days 00:06:02.818181818,0 days 01:59:59.696969696,0 days 00:43:38.757575757,6.0,6.0,10.0,24,0,0,15,18,0,4,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5
